Kms_Driven,modelYear,centralVariantId,variantName,price,Mileage,Engine_Displacement,Max Power,Max Torque,No of Cylinder,BoreX Stroke,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Turning Radius,Front Brake Type,Rear Brake Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed,city,bt,oem,model,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Color,Engine Type,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Tyre Type
31,2016,1217,69.81260057098365,675000,18.0,1497,117.3,145.0,4.0,73.0,4440.0,1695.0,1495.0,2600.0,1480.0,1465.0,1085.0,1663.445324881141,5.3,236.0,185.39999999999998,15,4.0,175.14117647058825,510.0,10.3,10.0,195.0,5,8,8,63,208,2,4,3,409,1,0,14,469,8,69,0,0,11,12,4,26
44,2019,7094,69.81260057098365,612000,20.7,1197,81.86,113.8,4.0,72.6523747368421,3805.0,1680.0,1520.0,2450.0,1458.3461457676958,1459.0579069277742,1060.0,1663.445324881141,6.036145117945655,236.0,185.39999999999998,15,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095,5,2,9,78,211,4,4,3,409,3,1,9,35,3,49,0,0,16,12,1,23
60,2010,8988,1.2,189000,17.0,1197,80.0,11.4,4.0,72.6523747368421,3940.0,1710.0,1505.0,2.0,1.0,1.0,1120.0,1663.445324881141,5.2,236.0,185.39999999999998,14,5.0,175.14117647058825,295.0,1.0,12.96,175.7024856765095,5,2,9,90,8,4,4,3,409,1,1,86,278,3,49,0,0,8,12,4,26
25,2018,6432,1.6,990000,14.8,1591,121.3,151.0,4.0,72.6523747368421,4270.0,1780.0,1665.0,2590.0,1458.3461457676958,1459.0579069277742,1300.0,1663.445324881141,5.3,236.0,185.39999999999998,17,5.0,190.0,400.0,12.667795612627074,12.854019118869493,175.7024856765095,5,7,9,73,210,2,4,3,420,1,0,57,450,3,53,0,0,21,12,4,13
46,2020,10403,69.81260057098365,534000,22.38,1197,88.5,113.0,4.0,72.6523747368421,3845.0,1735.0,1530.0,2450.0,1530.0,1530.0,875.0,1335.0,4.8,236.0,185.39999999999998,0,5.0,175.14117647058825,268.0,12.667795612627074,12.854019118869493,175.7024856765095,5,2,20,179,229,5,4,3,413,1,1,116,287,3,49,0,0,16,12,1,5
45,2018,8179,1.6,800000,13.0,1591,121.3,151.0,4.0,72.6523747368421,4270.0,1780.0,1630.0,2590.0,1458.3461457676958,1459.0579069277742,1280.0,1663.445324881141,5.3,236.0,185.39999999999998,17,5.0,175.14117647058825,400.0,12.667795612627074,12.854019118869493,175.7024856765095,5,7,9,73,176,4,4,3,409,1,1,138,450,3,53,0,0,21,12,4,13
31,2020,7731,69.81260057098365,983000,17.7,1497,113.18,143.8,4.0,72.6523747368421,4440.0,1729.0,1475.0,2600.0,1458.3461457676958,1459.0579069277742,1200.0,1663.445324881141,6.036145117945655,236.0,185.39999999999998,16,4.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095,5,8,9,86,143,4,4,3,409,1,1,8,83,7,56,0,0,21,12,1,23
56,2014,3982,69.81260057098365,281000,23.1,998,67.04,90.0,3.0,73.0,3715.0,1635.0,1565.0,2425.0,1420.0,1410.0,840.0,1250.0,4.7,236.0,185.39999999999998,0,5.0,175.14117647058825,235.0,11.0,15.05,150.0,5,2,20,160,137,2,4,3,414,1,0,110,293,3,53,0,0,9,12,4,23
10,2021,6740,69.81260057098365,535000,21.79,998,67.05,90.0,3.0,73.0,3655.0,1620.0,1675.0,2435.0,1458.3461457676958,1459.0579069277742,805.0,1340.0,4.7,236.0,185.39999999999998,0,5.0,175.14117647058825,341.0,12.667795612627074,18.6,175.7024856765095,5,2,20,184,213,2,4,3,445,1,1,14,295,3,49,0,0,8,12,4,22
41,2017,5607,1.2,475000,18.9,1197,81.86,113.75,4.0,72.6523747368421,3765.0,1660.0,1520.0,2425.0,1479.0,1493.0,1060.0,1663.445324881141,4.8,236.0,185.39999999999998,14,5.0,175.14117647058825,256.0,12.667795612627074,12.9,165.0,5,2,9,77,157,2,4,3,413,1,1,110,320,3,49,0,0,8,12,4,13
