city,bt,Kms_Driven,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Mileage,Engine_Displacement,Max Power,Color,Engine Type,Max Torque,No of Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed
Kolkata,Hatchback,65005,Maruti,Maruti Swift,2013,4202,69.81260057098365,311000,Nov 2013,Comprehensive,Petrol,5,WB22,First Owner,Manual,18.6,1197,85.8,Grey,K Series Petrol Engine,114.0,4.0,DOHC,MPFI,73.0,No,No,3850.0,1695.0,1530.0,2430.0,1485.0,1495.0,970.0,1415.0,5 Speed,FWD,Power,4.8,236.0,185.39999999999998,"Tubeless,Radial",14,5.0,175.14117647058825,232.0,10.0,12.29,160.0
Kolkata,Hatchback,2657,Renault,Renault KWID,2022,7429,69.81260057098365,463999,Jun 2022,Third Party insurance,Petrol,5,WB08,First Owner,Manual,22.3,799,53.26,Red,Petrol Engine,72.0,3.0,DOHC,MPFi,72.6523747368421,No,No,3731.0,1579.0,1474.0,2422.0,1458.3461457676958,1459.0579069277742,710.0,1663.445324881141,5 Speed,FWD,Electric,4.9,236.0,185.39999999999998,"Tubeless,Radial",0,5.0,175.14117647058825,279.0,12.667795612627074,16.0,175.7024856765095
Kolkata,Hatchback,16000,Hyundai,Hyundai i10,2011,1569,1.1,204999,Apr 2011,Comprehensive,Petrol,5,WB06,First Owner,Manual,19.81,1086,68.05,Grey,IRDE2 Engine,99.04,4.0,SOHC,MPFI,72.6523747368421,No,No,3585.0,1595.0,1550.0,2380.0,1400.0,1385.0,860.0,1663.445324881141,5 Speed,FWD,Power,4.7,236.0,185.39999999999998,Tubeless,0,5.0,175.14117647058825,225.0,12.667795612627074,14.3,165.0
Kolkata,SUV,7426,Tata,Tata Harrier,2023,7496,69.81260057098365,2175000,May 2023,Comprehensive,Diesel,5,WB02,First Owner,Automatic,14.6,1956,167.67,Red,Kryotec 2.0 L Turbocharged Engine,350.0,4.0,DOHC,MPFI,72.6523747368421,Yes,No,4598.0,1894.0,1706.0,2741.0,1458.3461457676958,1459.0579069277742,1700.0,1663.445324881141,6-Speed,FWD,Power,6.036145117945655,236.0,185.39999999999998,"Tubeless, Radial",17,5.0,175.14117647058825,425.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Hatchback,27046,Maruti,Maruti Baleno,2018,3964,1.2,643000,Mar 2018,Comprehensive,Petrol,5,WB08,First Owner,Automatic,21.4,1197,83.1,Silver,VVT Petrol Engine,115.0,4.0,DOHC,MPFI,72.6523747368421,No,No,3995.0,1745.0,1510.0,2520.0,1515.0,1525.0,910.0,1360.0,CVT,FWD,Power,4.9,236.0,185.39999999999998,"Tubeless,Radial",0,5.0,175.14117647058825,339.0,12.667795612627074,12.79,180.0
Kolkata,SUV,30100,Toyota,Toyota Fortuner,2021,7618,2.8,3750000,Aug 2021,Third Party insurance,Diesel,7,WB08,First Owner,Automatic,15.04,2755,174.5,Black,1-GD FTV Engine,450.0,4.0,DOHC,Direct Injection,72.6523747368421,Yes,No,4795.0,1855.0,1835.0,2745.0,1458.3461457676958,1459.0579069277742,2280.0,2735.0,6 Speed,4WD,Power,5.8,236.0,185.39999999999998,"Tubeless,Radial",18,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.14,157.3
Kolkata,Hatchback,9000,Maruti,Maruti Wagon R,2022,8835,69.81260057098365,545000,Nov 2022,Comprehensive,Petrol,5,WB06,First Owner,Manual,24.35,998,65.71,Brown,K10C,89.0,3.0,DOHC,MPFI,72.6523747368421,No,No,3655.0,1620.0,1675.0,2435.0,1430.0,1440.0,810.0,1340.0,5 Speed,FWD,Power,4.7,236.0,185.39999999999998,"Tubeless, Radial",0,5.0,175.14117647058825,341.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Hatchback,17000,Hyundai,Hyundai i20,2022,8153,69.81260057098365,750000,Feb 2022,Third Party insurance,Petrol,5,WB02,First Owner,Manual,21.0,1197,81.8,Grey,1.2 l Kappa petrol,114.74,4.0,DOHC,MPFI,72.6523747368421,No,No,3995.0,1775.0,1505.0,2580.0,1458.3461457676958,1459.0579069277742,1120.0,1663.445324881141,5 Speed,FWD,Electric,6.036145117945655,236.0,185.39999999999998,"Tubeless, Radial",0,5.0,175.14117647058825,311.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,SUV,49200,Jeep,Jeep Compass,2021,7885,2.0,1650000,Jan 2021,Comprehensive,Diesel,5,WB06,First Owner,Automatic,17.1,1956,170.0,Grey,2.0-Litre 4-Cyl Multijet II Engine,350.0,4.0,DOHC,CRDI,72.6523747368421,Yes,No,4395.0,1818.0,1640.0,2636.0,1458.3461457676958,1459.0579069277742,1551.0,1663.445324881141,9 Speed,4X4,Power,6.036145117945655,236.0,185.39999999999998,"Radial, Tubless",17,5.0,175.14117647058825,408.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Hatchback,35000,Hyundai,Hyundai i10,2009,1567,69.81260057098365,225000,Jan 2009,Comprehensive,Petrol,5,WB20,Second Owner,Manual,19.81,1086,68.05,Red,IRDE2 Engine,99.04,4.0,SOHC,MPFI,72.6523747368421,No,No,3585.0,1595.0,1550.0,2380.0,1400.0,1385.0,860.0,1663.445324881141,5 Speed,FWD,Power,4.7,236.0,185.39999999999998,Tubeless,0,5.0,175.14117647058825,225.0,12.667795612627074,14.3,165.0
Kolkata,SUV,30000,Land Rover,Land Rover Range Rover Evoque,2020,7873,2.0,5990000,2020,Third Party insurance,Diesel,5,WB02,Second Owner,Automatic,19.264094886860857,1999,245.4,Gray,Turbocharged Diesel engine,430.0,4.0,DOHC,MPFI,72.6523747368421,Yes,No,4371.0,1996.0,1649.0,2681.0,1626.0,1628.0,1775.0,2450.0,9-speed automatic,AWD,Power,6.036145117945655,236.0,185.39999999999998,"Tubeless,Radial",18,5.0,175.14117647058825,786.0,15.5,9.3,205.0
Kolkata,Hatchback,54044,Maruti,Maruti Alto K10,2017,7013,69.81260057098365,315000,Nov 2017,Third Party insurance,Petrol,5,WB12,First Owner,Manual,23.95,998,67.05,Silver,K Series Petrol Engine,90.0,3.0,DOHC,MPFi,72.6523747368421,No,No,3545.0,1515.0,1475.0,2360.0,1295.0,1290.0,784.0,1210.0,5 Speed,FWD,Power,4.6,236.0,185.39999999999998,"Tubeless,Radial",0,5.0,175.14117647058825,177.0,12.667795612627074,13.3,145.0
Kolkata,SUV,6500,Tata,Tata Nexon,2021,7384,69.81260057098365,799000,Mar 2021,Third Party insurance,Petrol,5,WB10,First Owner,Manual,17.33,1199,118.35,Green,1.2l Turbocharged Revotron Engine,170.0,3.0,DOHC,MPFI,72.6523747368421,No,No,3993.0,1811.0,1606.0,2498.0,1458.3461457676958,1459.0579069277742,1200.0,1663.445324881141,6 Speed,FWD,Electric,5.1,236.0,185.39999999999998,"Tubeless,Radial",0,5.0,175.14117647058825,350.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Sedan,29159,Maruti,Maruti Ciaz,2017,4022,69.81260057098365,526000,Mar 2017,Zero Dep,Petrol,5,WB06,First Owner,Manual,20.73,1373,91.1,Red,k14B VVT Engine,130.0,4.0,DOHC,MPFI,73.0,No,No,4490.0,1730.0,1485.0,2650.0,1495.0,1505.0,1010.0,1490.0,5 Speed,FWD,Power,5.4,236.0,185.39999999999998,"Tubeless, Radial",0,4.0,175.14117647058825,510.0,10.1,14.0,190.0
Kolkata,SUV,30000,Land Rover,Land Rover Range Rover Evoque,2020,7873,2.0,5990000,2020,Third Party insurance,Diesel,5,WB02,Second Owner,Automatic,19.264094886860857,1999,245.4,Silver,Turbocharged Diesel engine,430.0,4.0,DOHC,MPFI,72.6523747368421,Yes,No,4371.0,1996.0,1649.0,2681.0,1626.0,1628.0,1775.0,2450.0,9-speed automatic,AWD,Power,6.036145117945655,236.0,185.39999999999998,"Tubeless,Radial",18,5.0,175.14117647058825,786.0,15.5,9.3,205.0
Kolkata,Sedan,31968,Honda,Honda City,2016,1217,69.81260057098365,675000,Oct 2016,Comprehensive,Petrol,5,WB02,First Owner,Automatic,18.0,1497,117.3,Brown,i VTEC Engine,145.0,4.0,SOHC,PGM-Fi,73.0,No,No,4440.0,1695.0,1495.0,2600.0,1480.0,1465.0,1085.0,1663.445324881141,5 Speed CVT,FWD,Power,5.3,236.0,185.39999999999998,"Tubeless,Radial",15,4.0,175.14117647058825,510.0,10.3,10.0,195.0
Kolkata,Hatchback,44150,Hyundai,Hyundai Grand i10 Nios,2019,7094,69.81260057098365,612000,Oct 2019,Third Party insurance,Petrol,5,WB02,Second Owner,Manual,20.7,1197,81.86,Blue,1.2 Kappa petrol,113.8,4.0,DOHC,MPFI,72.6523747368421,No,No,3805.0,1680.0,1520.0,2450.0,1458.3461457676958,1459.0579069277742,1060.0,1663.445324881141,5-Speed,FWD,Electric,6.036145117945655,236.0,185.39999999999998,"Tubeless, Radial",15,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Hatchback,60000,Hyundai,Hyundai i20,2010,8988,1.2,189000,2010,Third Party insurance,Petrol,5,WB02,First Owner,Manual,17.0,1197,80.0,Others,In-Line Engine,11.4,4.0,DOHC,MPFI,72.6523747368421,No,No,3940.0,1710.0,1505.0,2.0,1.0,1.0,1120.0,1663.445324881141,5 Speed,FWD,Power,5.2,236.0,185.39999999999998,"Tubeless,Radial",14,5.0,175.14117647058825,295.0,1.0,12.96,175.7024856765095
Kolkata,SUV,25009,Hyundai,Hyundai Creta,2018,6432,1.6,990000,Oct 2018,Comprehensive,Petrol,5,WB20,First Owner,Automatic,14.8,1591,121.3,Grey,VTVT Petrol Engine,151.0,4.0,DOHC,MPFi,72.6523747368421,No,No,4270.0,1780.0,1665.0,2590.0,1458.3461457676958,1459.0579069277742,1300.0,1663.445324881141,6 Speed,FWD,Power,5.3,236.0,185.39999999999998,Tubeless,17,5.0,190.0,400.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Hatchback,46469,Maruti,Maruti Swift,2020,10403,69.81260057098365,534000,Sept 2020,Zero Dep,Petrol,5,WB06,First Owner,Manual,22.38,1197,88.5,Silver,K Series Dual jet,113.0,4.0,DOHC,MPFI,72.6523747368421,No,No,3845.0,1735.0,1530.0,2450.0,1530.0,1530.0,875.0,1335.0,5-Speed,FWD,Electric,4.8,236.0,185.39999999999998,"Radial, Tubeless",0,5.0,175.14117647058825,268.0,12.667795612627074,12.854019118869493,175.7024856765095
